days,Block1,Block2,Block3,Block4
Mo,GMT,ANA,PHY,-
Di,ANA,DEU2,PHY,CHE
Mi,DEU1,DEU2,PHY,CHE
Do,DEU1,GMT,INF,INF
Fr,DEU1,DEU2,-,-
