days,Block1,Block2,Block3,Block4
Mo,DEU1:WG0,DEU2:SCH,GEO:OST,MTH:KRZ
Di,DEU2:SCH,GEO:OST,MTH:KRZ,VWL:MSZ
Mi,DEU1:WG0,GEO:OST,-,-
Do,DEU2:SCH,MTH:KRZ,BWL:RE0,VWL:MSZ
Fr,DEU1:WG0,BWL:RE0,VWL:MSZ,-
