days,Block1,Block2,Block3,Block4
Mo,DEU1:vBl,DEU2:WG0,PHY:SD0,CHE:MTC
Di,DEU2:WG0,CHE:MTC,GMT:WDR,-
Mi,DEU1:vBl,ANA:TAV,GMT:WDR,-
Do,INF:KYF,ANA:TAV,DEU2:WG0,PHY:SD0
Fr,INF:KYF,DEU1:vBl,PHY:SD0,-
