days,Block1,Block2,Block3,Block4
Mo,MTH:TAV,PHY:SD0,PHY:SD0,-
Di,DEU2:RE0,CHE:KRZ,PHY:SD0,-
Mi,BIO:MTC,DEU1:VOR,DEU2:RE0,MTH:TAV
Do,BIO:MTC,DEU1:VOR,DEU2:RE0,CHE:KRZ
Fr,BIO:MTC,DEU1:VOR,MTH:TAV,-
