days,Block1,Block2,Block3,Block4
Mo,ANA:TAV,PHY:SD0,DEU1:vBl,GMT:WDR
Di,INF:KYF,CHE:KRZ,DEU2:VOR,-
Mi,INF:KYF,PHY:SD0,DEU1:vBl,-
Do,ANA:TAV,PHY:SD0,DEU2:VOR,-
Fr,CHE:KRZ,DEU1:vBl,DEU2:VOR,GMT:WDR
