days,Block1,Block2,Block3,Block4
Mo,PHY:SD0,CHE:MTC,DEU1:SCH,DEU2:vBl
Di,ANA:KYF,PHY:SD0,DEU2:vBl,GMT:WDR
Mi,PHY:SD0,DEU1:SCH,GMT:WDR,-
Do,INF:TAV,DEU1:SCH,DEU2:vBl,-
Fr,INF:TAV,ANA:KYF,CHE:MTC,-
