days,Block1,Block2,Block3,Block4
Mo,INF:KYF,ANA:TAV,DEU2:SCH,PHY:KEM
Di,INF:KYF,DEU1:vBl,CHE:KRZ,-
Mi,DEU2:SCH,PHY:KEM,GMT:WDR,-
Do,DEU1:vBl,ANA:TAV,DEU2:SCH,PHY:KEM
Fr,DEU1:vBl,CHE:KRZ,GMT:WDR,-
