days,Block1,Block2,Block3,Block4
Mo,LIT:KRO,SOZ:MSZ,-,-
Di,LIT:KRO,DEU1:VOR,DEU2:RI0,GCH:RE0
Mi,LIT:KRO,SOZ:MSZ,DEU2:RI0,GCH:RE0
Do,DEU1:VOR,DEU2:RI0,GCH:RE0,-
Fr,SOZ:MSZ,DEU1:VOR,-,-
