days,Block1,Block2,Block3,Block4
Mo,LIT:KRO,GCH:RI0,GCH:RI0,-
Di,LIT:KRO,DEU1:OST,DEU2:WG0,GCH:RI0
Mi,SOZ:MSZ,DEU2:WG0,-,-
Do,SOZ:MSZ,DEU1:OST,-,-
Fr,LIT:KRO,SOZ:MSZ,DEU1:OST,DEU2:WG0
