days,Block1,Block2,Block3,Block4
Mo,DEU1:RI0,DEU2:SCH,VWL:KRO,-
Di,DEU2:SCH,GEO:OST,MTH:KYF,BWL:RE0
Mi,DEU1:RI0,VWL:KRO,VWL:KRO,-
Do,DEU2:SCH,GEO:OST,MTH:KYF,BWL:RE0
Fr,DEU1:RI0,GEO:OST,MTH:KYF,-
