days,Block1,Block2,Block3,Block4
Mo,DEU1,ANA,DEU2,CHE
Di,DEU1,ANA,DEU2,PHY
Mi,DEU1,GMT,DEU2,PHY
Do,GMT,PHY,CHE,INF
Fr,INF,-,-,-
