days,Block1,Block2,Block3,Block4
Mo,DEU1:SCH,DEU2:WG0,CHE:MTC,MTH:KYF
Di,DEU1:SCH,DEU2:WG0,BIO:KEM,PHY:SD0
Mi,DEU2:WG0,MTH:KYF,PHY:SD0,-
Do,DEU1:SCH,BIO:KEM,MTH:KYF,-
Fr,BIO:KEM,CHE:MTC,PHY:SD0,-
